Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,Extrair: /wiki/Brasil,305,0,33,211.74435114754172,16.533801999685238,2123.186173999784,3243.0,5.11189381748874,0.0,33,40,56,73,1000,1400,1700,1900,2100,2100,2100
GET,Extrair: /wiki/Docker_(software),298,0,30,38.67418032886717,17.551872999774787,144.0299360001518,3276.0,4.994571664300474,0.0,30,37,45,49,71,89,120,140,140,140,140
GET,Extrair: /wiki/Fortaleza,215,0,28,31.966518497674134,17.551014999753534,100.66942999992534,3252.0,3.6034661336396034,0.0,28,32,36,37,44,63,82,92,100,100,100
GET,Extrair: /wiki/Inteligência_artificial,300,0,30,37.218633499987845,16.95089700024255,114.17359999995824,3297.0,5.0280922794971215,0.0,30,37,42,50,72,81,98,110,110,110,110
GET,Extrair: /wiki/Locust_(software),222,0,27,32.2720940405361,18.07544700022845,129.6845659999235,3276.0,3.7207882868278697,0.0,27,32,35,38,51,62,78,89,130,130,130
GET,Extrair: /wiki/PHP,264,0,28,33.195392382596665,18.658070000128646,125.99704000012935,3234.0,4.424721205957467,0.0,28,32,36,40,51,62,95,120,130,130,130
GET,Extrair: /wiki/Portugal,303,0,29,34.61338807588774,14.513106999856973,139.1133480001372,3249.0,5.078373202292092,0.0,29,34,37,41,56,74,94,130,140,140,140
GET,Extrair: /wiki/Python_(linguagem_de_programação),295,0,29,33.16430051864253,18.25089299973115,91.78866000002017,3330.0,4.944290741505503,0.0,29,33,36,39,53,64,79,82,92,92,92
GET,Extrair: /wiki/Redis,242,0,29,32.30756912809423,17.105133999848476,102.09174000010535,3240.0,4.055994438794344,0.0,30,33,35,39,45,56,68,92,100,100,100
GET,Extrair: /wiki/Ruby_(linguagem_de_programação),279,0,29,32.63959280645711,18.103546000020287,126.4457429997492,3324.0,4.676125819932323,0.0,29,33,37,40,47,55,76,98,130,130,130
,Aggregated,2723,0,29,54.0835535045895,14.513106999856973,2123.186173999784,3273.2148365773046,45.63831759023554,0.0,29,34,38,42,58,79,130,1100,1900,2100,2100
