Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,Extrair: /wiki/Brasil,61,0,97,144.0462612458983,31.26126799998019,585.316411000349,2857.0,0.49036752202139394,0.0,97,140,150,190,370,410,490,590,590,590,590
GET,Extrair: /wiki/Docker_(software),60,0,110.0,163.69117786662932,35.89535099990826,611.4363299998331,2879.0,0.48232871018497764,0.0,120,150,250,290,360,430,470,610,610,610,610
GET,Extrair: /wiki/Fortaleza,53,0,100,158.03595071699573,39.02153399985764,650.8774899998571,2863.0,0.42605702733006356,0.0,100,160,220,230,350,500,510,650,650,650,650
GET,Extrair: /wiki/Inteligência_artificial,60,0,11,14.1634957166616,5.367543000375008,113.39639600009832,2893.0,0.48232871018497764,0.0,11,12,15,19,23,32,32,110,110,110,110
GET,Extrair: /wiki/Locust_(software),56,0,120.0,176.22530964285943,34.442842999851564,605.8769589999429,2879.0,0.4501734628393125,0.0,130,190,270,300,370,560,570,610,610,610,610
GET,Extrair: /wiki/PHP,58,0,88,144.80809674139516,33.139507999749185,517.5156020000031,2851.0,0.46625108651214503,0.0,90,130,220,240,320,420,480,520,520,520,520
GET,Extrair: /wiki/Portugal,60,0,120.0,157.24054713333922,34.035328999834746,639.949162999983,2861.0,0.48232871018497764,0.0,120,180,210,230,360,490,500,640,640,640,640
GET,Extrair: /wiki/Python_(linguagem_de_programação),59,0,10,11.83435827120559,5.351226000129827,38.218970999878366,2915.0,0.47428989834856133,0.0,10,12,13,13,15,33,34,38,38,38,38
GET,Extrair: /wiki/Redis,57,0,120.0,166.68111278944738,40.78423600003589,650.5185089999941,2855.0,0.4582122746757287,0.0,120,170,190,250,410,520,610,650,650,650,650
GET,Extrair: /wiki/Ruby_(linguagem_de_programação),58,0,12,12.47061884484914,5.888142999992851,46.80383899994922,2911.0,0.46625108651214503,0.0,12,13,15,15,17,20,23,47,47,47,47
,Aggregated,582,0,65,114.18947418900396,5.351226000129827,650.8774899998571,2876.5223367697595,4.678588488794283,0.0,66,110,150,190,310,390,520,610,650,650,650
