Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,Extrair: /wiki/Brasil,109,0,60000.0,41424.81964929359,852.1195330004048,62221.59744000055,177118.85321100918,0.350179694960448,0.0,60000,60000,60000,60000,60000,62000,62000,62000,62000,62000,62000
GET,Extrair: /wiki/Docker_(software),100,0,47000.0,46198.58873169003,1186.5086660000088,61916.69527999966,23136.71,0.32126577519307153,0.0,47000,56000,60000,60000,60000,61000,61000,62000,62000,62000,62000
GET,Extrair: /wiki/Fortaleza,9,0,60050.63732200051,60082.25230733327,60050.63732200051,60116.749566999715,2863.0,0.02891391976737644,0.0,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000
GET,Extrair: /wiki/Inteligência_artificial,100,0,57000.0,49906.46756314998,158.0171010000413,60186.84418800058,2893.0,0.32126577519307153,0.0,57000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000
GET,Extrair: /wiki/Locust_(software),9,0,59000.0,56924.020586000035,50298.42456799997,60097.52519899939,2879.0,0.02891391976737644,0.0,59000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000
GET,Extrair: /wiki/PHP,39,0,36000.0,32814.652607077034,5362.267814999541,60102.76653500023,63056.48717948718,0.1252936523252979,0.0,36000,38000,39000,40000,60000,60000,60000,60000,60000,60000,60000
GET,Extrair: /wiki/Portugal,107,0,60000.0,54690.291207990645,4531.323846000305,60232.49904000022,41134.77570093458,0.34375437945658655,0.0,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000
GET,Extrair: /wiki/Python_(linguagem_de_programação),100,0,21000.0,20668.030534260022,80.37490700007766,60118.196084000374,2915.0,0.32126577519307153,0.0,21000,22000,23000,24000,25000,32000,60000,60000,60000,60000,60000
GET,Extrair: /wiki/Redis,12,0,7000.0,14405.63472883332,2834.706460000234,40222.37505300018,21106.833333333332,0.03855189302316859,0.0,8600,23000,26000,26000,26000,40000,40000,40000,40000,40000,40000
GET,Extrair: /wiki/Ruby_(linguagem_de_programação),100,0,20000.0,19178.745147819987,81.90125900000567,60299.319318000016,2911.0,0.32126577519307153,0.0,20000,20000,21000,21000,28000,31000,48000,60000,60000,60000,60000
,Aggregated,685,0,41000.0,38639.48207763801,80.37490700007766,62221.59744000055,43295.051094890514,2.20067056007254,0.0,41000,60000,60000,60000,60000,60000,61000,62000,62000,62000,62000
