Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,Extrair: /wiki/Brasil,60,0,17,25.31562635000455,14.058880999982648,441.249808999828,3243.0,0.549506589481886,0.0,17,18,20,20,24,32,45,440,440,440,440
GET,Extrair: /wiki/Docker_(software),56,0,16,22.94457160713494,14.077547999931994,183.79554900002404,3276.0,0.5128728168497603,0.0,17,17,18,19,23,27,180,180,180,180,180
GET,Extrair: /wiki/Fortaleza,50,0,18,21.40745393999623,14.155621999861978,175.6403520000731,3252.0,0.4579221579015717,0.0,18,19,19,21,24,25,180,180,180,180,180
GET,Extrair: /wiki/Inteligência_artificial,57,0,17,23.48856275437739,14.170160000048782,190.91257400009454,3297.0,0.5220312600077918,0.0,17,18,19,20,24,25,180,190,190,190,190
GET,Extrair: /wiki/Locust_(software),50,0,17,20.784889600004135,14.256318999969153,174.06173699987448,3276.0,0.4579221579015717,0.0,17,18,19,20,25,26,170,170,170,170,170
GET,Extrair: /wiki/PHP,52,0,16,23.424974692309554,13.875890999997864,181.66053699997065,3234.0,0.4762390442176345,0.0,16,17,19,19,26,33,180,180,180,180,180
GET,Extrair: /wiki/Portugal,58,0,17,20.575569620687332,14.058351999892693,185.38963700007116,3249.0,0.5311897031658231,0.0,17,18,19,20,21,28,30,190,190,190,190
GET,Extrair: /wiki/Python_(linguagem_de_programação),55,0,16,22.436731436358638,14.034475000016755,177.3189010000351,3330.0,0.5037143736917289,0.0,16,17,18,20,22,25,180,180,180,180,180
GET,Extrair: /wiki/Redis,51,0,17,21.579690411771498,14.019266000104835,211.00936900006673,3240.0,0.4670806010596031,0.0,17,18,19,20,23,28,30,210,210,210,210
GET,Extrair: /wiki/Ruby_(linguagem_de_programação),54,0,16,20.261625981464494,14.215113999853202,180.7619619999059,3324.0,0.4945559305336974,0.0,16,17,19,19,22,24,25,180,180,180,180
,Aggregated,543,0,17,22.269784180476012,13.875890999997864,441.249808999828,3272.303867403315,4.973034634811069,0.0,17,18,19,20,23,26,180,180,440,440,440
