Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,Extrair: /wiki/Brasil,100,0,4000.0,3883.72975539999,2519.9904299997797,6164.310660999945,2857.0,2.0577742670046577,0.0,4000,4000,4500,5000,5400,5900,6100,6200,6200,6200,6200
GET,Extrair: /wiki/Docker_(software),100,0,2900.0,3260.005515639978,2554.3744950000473,4016.6905650003173,2879.0,2.0577742670046577,0.0,2900,3800,3900,4000,4000,4000,4000,4000,4000,4000,4000
GET,Extrair: /wiki/Inteligência_artificial,100,0,3000.0,3267.7845598299878,2532.9292719998193,4043.1686490001084,2893.0,2.0577742670046577,0.0,3000,3800,3900,4000,4000,4000,4000,4000,4000,4000,4000
GET,Extrair: /wiki/Locust_(software),20,0,2900.0,3344.294612950034,2580.9744139996837,4019.9733680001373,2879.0,0.4115548534009315,0.0,3800,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000
GET,Extrair: /wiki/PHP,99,0,3000.0,3220.106265030328,2517.2734300003867,4069.2671389997486,2851.0,2.037196524334611,0.0,3000,3800,4000,4000,4000,4000,4000,4100,4100,4100,4100
GET,Extrair: /wiki/Portugal,100,0,2900.0,3315.3958177899663,2558.0233299997417,4032.0936139996775,2861.0,2.0577742670046577,0.0,3100,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000
GET,Extrair: /wiki/Python_(linguagem_de_programação),100,0,2900.0,3253.386077370089,2542.0133590005207,4024.3864590001976,2915.0,2.0577742670046577,0.0,3100,3800,3900,4000,4000,4000,4000,4000,4000,4000,4000
GET,Extrair: /wiki/Redis,75,0,3000.0,3246.5968348533356,2524.304610999934,4111.905694000598,2855.0,1.543330700253493,0.0,3000,3800,3900,4000,4000,4000,4100,4100,4100,4100,4100
GET,Extrair: /wiki/Ruby_(linguagem_de_programação),100,0,3200.0,3305.0742347200126,2525.4863379996095,4024.277923000227,2911.0,2.0577742670046577,0.0,3800,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000
,Aggregated,794,0,3100.0,3347.240265977336,2517.2734300003867,6164.310660999945,2878.5314861460956,16.33872768001698,0.0,3100,3900,4000,4000,4000,4000,5100,5500,6200,6200,6200
