Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,Extrair: /wiki/Brasil,60,0,19000.0,20702.47642155009,1009.7709470001064,57106.764089000535,375299.0,0.42657391701255415,0.0,19000,24000,33000,36000,40000,42000,43000,57000,57000,57000,57000
GET,Extrair: /wiki/Docker_(software),50,0,4700.0,4888.618704479978,1519.9229259997082,7594.253231000039,27616.68,0.3554782641771284,0.0,4800,5600,6500,6900,7200,7300,7600,7600,7600,7600,7600
GET,Extrair: /wiki/Fortaleza,42,0,28000.0,27048.00194852379,17322.894490999715,36753.66890999976,276991.85714285716,0.2986017419087879,0.0,28000,29000,30000,31000,32000,33000,37000,37000,37000,37000,37000
GET,Extrair: /wiki/Inteligência_artificial,52,0,610.0,649.7387127499749,61.119383000004746,1877.3663390002184,2893.0,0.3696973947442136,0.0,610,730,810,900,1300,1600,1600,1900,1900,1900,1900
GET,Extrair: /wiki/Locust_(software),50,0,10000.0,10524.350437220091,6381.49536400033,16873.005729000397,2879.0,0.3554782641771284,0.0,10000,11000,12000,13000,15000,16000,17000,17000,17000,17000,17000
GET,Extrair: /wiki/PHP,50,0,7800.0,8130.162627940082,4670.8351560000665,14918.5573499999,69946.14,0.3554782641771284,0.0,7900,8800,9200,9400,11000,12000,15000,15000,15000,15000,15000
GET,Extrair: /wiki/Portugal,52,0,26000.0,25614.113250769144,3829.3626019994917,37359.77038400051,295392.5,0.3696973947442136,0.0,26000,28000,29000,31000,35000,36000,37000,37000,37000,37000,37000
GET,Extrair: /wiki/Python_(linguagem_de_programação),50,0,640.0,700.4695090399036,77.25061299970548,1770.0975869993272,2915.0,0.3554782641771284,0.0,650,780,990,1100,1400,1500,1800,1800,1800,1800,1800
GET,Extrair: /wiki/Redis,50,0,3400.0,3651.968816999978,1012.3510210005406,6268.8041179999345,21082.9,0.3554782641771284,0.0,3600,4100,4300,5000,5700,6100,6300,6300,6300,6300,6300
GET,Extrair: /wiki/Ruby_(linguagem_de_programação),50,0,610.0,600.7712692200221,161.40160900067713,1735.2427759997227,2911.0,0.3554782641771284,0.0,620,690,730,790,1000,1200,1700,1700,1700,1700,1700
,Aggregated,506,0,6100.0,10214.826161025694,61.119383000004746,57106.764089000535,110731.18577075099,3.5974400334725396,0.0,6200,10000,16000,23000,28000,33000,37000,40000,57000,57000,57000
